# target qid ck12_retrieval_features_sum ck12_retrieval_features_max study_cards_retrieval_features_max study_cards_retrieval_features_sum 
1 qid:100006 1:1.8467974066734314 2:0.4293576776981354 3:0.7391816973686218 4:3.325053870677948
2 qid:100006 1:1.847174882888794 2:0.446769654750824 3:0.7012350559234619 4:3.2377131581306458
1 qid:100006 1:1.7818557918071747 2:0.43957337737083435 3:0.6913338899612427 4:3.1098204851150513
1 qid:100006 1:1.7691102921962738 2:0.4483416676521301 3:0.6856967806816101 4:3.125387728214264
2 qid:100007 1:1.196273759007454 2:0.30544787645339966 3:0.7235988974571228 4:2.728244364261627
1 qid:100007 1:1.1713409125804901 2:0.31238722801208496 3:0.4771529734134674 4:2.24645072221756
1 qid:100007 1:1.0101765096187592 2:0.22820961475372314 3:0.5627827644348145 4:2.2865085303783417
1 qid:100007 1:0.9274942725896835 2:0.21507376432418823 3:0.4729844033718109 4:2.0166215002536774
2 qid:100008 1:4.910015106201172 2:1.152596116065979 3:5.116898536682129 4:18.905224800109863
1 qid:100008 1:4.921414852142334 2:1.1006855964660645 3:2.6919803619384766 4:11.161633729934692
1 qid:100008 1:4.082004427909851 2:1.0957084894180298 3:3.4831855297088623 4:12.09507155418396
1 qid:100008 1:3.772074043750763 2:0.9219815135002136 3:3.5854363441467285 4:12.450129985809326
1 qid:100009 1:1.7454475462436676 2:0.40779614448547363 3:0.6957252621650696 4:3.305022895336151
1 qid:100009 1:1.7417151927947998 2:0.41288378834724426 3:0.702674925327301 4:3.338036894798279
1 qid:100009 1:1.7412399649620056 2:0.4194852411746979 3:0.8818632960319519 4:3.751914918422699
2 qid:100009 1:1.736724853515625 2:0.4218849539756775 3:1.0459538698196411 4:3.776512920856476
1 qid:100010 1:3.257346451282501 2:0.8266230821609497 3:4.077393054962158 4:7.867201864719391
1 qid:100010 1:3.2004007697105408 2:0.8560309410095215 3:3.3584790229797363 4:6.621087312698364
2 qid:100010 1:3.600325047969818 2:0.8747060298919678 3:5.195362567901611 4:9.629980564117432
1 qid:100010 1:3.5316532254219055 2:0.90525883436203 3:4.357903480529785 4:8.434440970420837
1 qid:100011 1:3.7518198490142822 2:0.8062805533409119 3:0.652803361415863 4:2.9854392409324646
1 qid:100011 1:3.4362131357192993 2:0.8127347230911255 3:0.7606841921806335 4:3.3081244230270386
1 qid:100011 1:3.4047664999961853 2:0.813658595085144 3:0.7012157440185547 4:3.254537045955658
2 qid:100011 1:3.318514049053192 2:0.820245087146759 3:0.763899564743042 4:3.5199089646339417
1 qid:100012 1:3.1038713455200195 2:0.9200266599655151 3:1.9998210668563843 4:7.439450621604919
1 qid:100012 1:3.2649494409561157 2:0.8146418333053589 3:1.8107508420944214 4:7.79711639881134
1 qid:100012 1:1.6249459981918335 2:0.37495025992393494 3:0.8049439787864685 4:3.6165733337402344
2 qid:100012 1:3.9517327547073364 2:0.9343948364257812 3:2.710881471633911 4:12.890345573425293
2 qid:100013 1:1.9309574663639069 2:0.5275992751121521 3:8.842813491821289 4:11.684428572654724
1 qid:100013 1:1.6485024690628052 2:0.37891754508018494 3:7.743149280548096 4:10.219442784786224
1 qid:100013 1:1.4884290993213654 2:0.38603493571281433 3:7.822061538696289 4:10.323591589927673
1 qid:100013 1:1.5829654335975647 2:0.3890511989593506 3:7.828359127044678 4:10.331903159618378
1 qid:100014 1:1.4980805665254593 2:0.41712677478790283 3:0.6080985069274902 4:2.3360950350761414
1 qid:100014 1:1.309960812330246 2:0.332940012216568 3:0.5131985545158386 4:2.047875791788101
2 qid:100014 1:1.6499617993831635 2:0.44466182589530945 3:0.5124906301498413 4:2.3162201941013336
1 qid:100014 1:1.7849851250648499 2:0.4652664065361023 3:0.6998421549797058 4:2.7980044186115265
1 qid:100015 1:1.426971197128296 2:0.31395941972732544 3:1.2806771993637085 4:3.883132219314575
2 qid:100015 1:1.476071372628212 2:0.36218830943107605 3:1.2782196998596191 4:3.875680685043335
1 qid:100015 1:1.531629055738449 2:0.37207549810409546 3:1.3722835779190063 4:4.369068801403046
1 qid:100015 1:1.2763414531946182 2:0.2807298004627228 3:1.3541200160980225 4:4.0485639572143555
1 qid:100016 1:3.195805013179779 2:0.7419714331626892 3:3.831918478012085 4:9.532037377357483
2 qid:100016 1:4.669476270675659 2:1.2121374607086182 3:4.0745930671691895 4:12.49018681049347
1 qid:100016 1:3.0793877840042114 2:0.735912024974823 3:3.8817782402038574 4:9.656065344810486
1 qid:100016 1:2.857121467590332 2:0.6827948093414307 3:3.6823527812957764 4:9.159987568855286
1 qid:100017 1:3.1217833161354065 2:0.725111722946167 3:1.1737596988677979 4:5.168787479400635
1 qid:100017 1:2.4259144365787506 2:0.5609185695648193 3:1.0868029594421387 4:4.767261981964111
2 qid:100017 1:2.3400517404079437 2:0.5821905732154846 3:0.8346462845802307 4:4.014792442321777
1 qid:100017 1:2.122387945652008 2:0.5284782648086548 3:0.7696487307548523 4:3.345349967479706
2 qid:100018 1:1.9619960188865662 2:0.5171155333518982 3:1.0207639932632446 4:4.374009609222412
1 qid:100018 1:1.3890831023454666 2:0.3403730094432831 3:0.7557897567749023 4:3.310281753540039
1 qid:100018 1:1.7865636348724365 2:0.37264516949653625 3:1.3731592893600464 4:5.564555048942566
1 qid:100018 1:1.3890831023454666 2:0.3403730094432831 3:0.7530738711357117 4:3.29838627576828
1 qid:100019 1:1.2544242888689041 2:0.31199920177459717 3:0.698616623878479 4:3.3691542744636536
2 qid:100019 1:1.6169240772724152 2:0.43992969393730164 3:0.6314684748649597 4:2.5159782767295837
1 qid:100019 1:1.9855488240718842 2:0.461047500371933 3:1.2934482097625732 4:5.081688344478607
1 qid:100019 1:2.4225946962833405 2:0.5104458332061768 3:1.3116897344589233 4:5.153355836868286
1 qid:100020 1:0.9682628661394119 2:0.22470906376838684 3:0.40160754323005676 4:1.6639603078365326
2 qid:100020 1:1.0095724761486053 2:0.25752928853034973 3:0.5621320009231567 4:2.1912164092063904
1 qid:100020 1:0.9766675382852554 2:0.20884913206100464 3:0.679305374622345 4:2.4938424825668335
1 qid:100020 1:1.2366163432598114 2:0.2848352789878845 3:0.481425940990448 4:2.3102238178253174
1 qid:100021 1:2.0131525695323944 2:0.4810531735420227 3:0.6748073101043701 4:2.313727557659149
1 qid:100021 1:2.0070387721061707 2:0.47959229350090027 3:0.67315274477005 4:2.308054566383362
2 qid:100021 1:1.885947346687317 2:0.4506568908691406 3:0.6389671564102173 4:2.2905710339546204
1 qid:100021 1:1.9401484429836273 2:0.4636085033416748 3:0.7156490683555603 4:2.366544157266617
1 qid:100022 1:2.925915241241455 2:0.6451960802078247 3:1.4228096008300781 4:5.924768924713135
1 qid:100022 1:2.5850735306739807 2:0.547469973564148 3:1.5451809167861938 4:5.832563638687134
2 qid:100022 1:3.0657225251197815 2:0.7115694880485535 3:1.5619540214538574 4:7.158473610877991
1 qid:100022 1:2.400931805372238 2:0.6413366198539734 3:1.4702963829040527 4:5.7342082262039185
1 qid:100023 1:1.2498149871826172 2:0.2908230423927307 3:0.6655916571617126 4:2.559507727622986
1 qid:100023 1:2.7307624220848083 2:0.6211775541305542 3:1.3452472686767578 4:3.278786987066269
2 qid:100023 1:3.119572103023529 2:0.6781473159790039 3:0.7002283930778503 4:2.7458426356315613
1 qid:100023 1:2.1546595692634583 2:0.5031899809837341 3:0.8678889274597168 4:3.3093560934066772
1 qid:100024 1:3.497644543647766 2:0.8616949915885925 3:1.502966284751892 4:6.99871289730072
1 qid:100024 1:4.159966349601746 2:0.9314746856689453 3:1.5646247863769531 4:6.533173203468323
1 qid:100024 1:3.0111083984375 2:0.7285063862800598 3:1.418005347251892 4:6.952527284622192
2 qid:100024 1:3.9739449620246887 2:0.8508516550064087 3:1.4067561626434326 4:6.4867095947265625
2 qid:100025 1:2.075259894132614 2:0.4995183050632477 3:0.7996261119842529 4:3.709073305130005
1 qid:100025 1:1.9375976920127869 2:0.43547534942626953 3:1.0786256790161133 4:4.096744954586029
1 qid:100025 1:2.0672609508037567 2:0.4996109902858734 3:0.6269540190696716 4:2.8549476265907288
1 qid:100025 1:2.116021156311035 2:0.44378921389579773 3:0.8239813446998596 4:3.753583073616028
1 qid:100026 1:2.067566841840744 2:0.6272692680358887 3:0.5816532969474792 4:1.953827142715454
2 qid:100026 1:2.4012625217437744 2:0.6253371238708496 3:0.5764203071594238 4:2.08845317363739
1 qid:100026 1:2.2590062022209167 2:0.6408482193946838 3:0.5877124071121216 4:2.0710266828536987
1 qid:100026 1:2.005091518163681 2:0.5956705808639526 3:0.5492232441902161 4:1.9285670816898346
1 qid:100027 1:3.425061821937561 2:0.8473057746887207 3:2.781648635864258 4:9.6054447889328
1 qid:100027 1:2.579771488904953 2:0.5442562699317932 3:2.1952202320098877 4:7.602876126766205
1 qid:100027 1:3.103823184967041 2:0.7617505192756653 3:2.9015560150146484 4:9.843279600143433
2 qid:100027 1:2.7666436433792114 2:0.6210625767707825 3:3.0821495056152344 4:11.274118304252625
1 qid:100028 1:6.4949047565460205 2:1.5462126731872559 3:2.709719181060791 4:10.095627546310425
1 qid:100028 1:6.250972628593445 2:1.399317741394043 3:2.703641653060913 4:10.072985410690308
1 qid:100028 1:5.918152093887329 2:1.3248138427734375 3:2.589907169342041 4:9.649243474006653
2 qid:100028 1:5.788993835449219 2:1.2959009408950806 3:2.5873525142669678 4:9.639725685119629
1 qid:100029 1:2.0036340951919556 2:0.4881052076816559 3:0.5207304358482361 4:1.8805842101573944
2 qid:100029 1:2.6553392112255096 2:0.596478283405304 3:0.6191949844360352 4:2.7268188297748566
1 qid:100029 1:1.3834187984466553 2:0.3176534175872803 3:0.4645119607448578 4:1.882552683353424
1 qid:100029 1:2.0208740532398224 2:0.43671905994415283 3:1.0847828388214111 4:2.6582203805446625
1 qid:100030 1:1.8786956667900085 2:0.46592026948928833 3:0.7406857013702393 4:2.239267021417618
2 qid:100030 1:1.9257131814956665 2:0.5514386892318726 3:0.7497148513793945 4:2.557977706193924
1 qid:100030 1:1.8412730991840363 2:0.5666024684906006 3:0.7409931421279907 4:2.33014178276062
1 qid:100030 1:2.155654698610306 2:0.5618847608566284 3:0.7448712587356567 4:2.3612560629844666
1 qid:100031 1:1.663942039012909 2:0.36481454968452454 3:0.5859448313713074 4:2.70117723941803
2 qid:100031 1:2.1522319316864014 2:0.4513881802558899 3:0.7554845213890076 4:3.229207932949066
1 qid:100031 1:1.8455312550067902 2:0.42407354712486267 3:0.8605949282646179 4:4.02365505695343
1 qid:100031 1:2.2000624239444733 2:0.4740695357322693 3:0.7367940545082092 4:3.370268762111664
1 qid:100032 1:3.5661497712135315 2:0.8403224945068359 3:1.3814681768417358 4:5.821843266487122
2 qid:100032 1:2.863116145133972 2:0.8115137815475464 3:1.3208588361740112 4:5.735848069190979
1 qid:100032 1:3.7403218746185303 2:0.8574936985969543 3:1.5226260423660278 4:6.47381067276001
1 qid:100032 1:3.4609408378601074 2:1.044977068901062 3:1.2073026895523071 4:5.6936880350112915
1 qid:100033 1:6.09731125831604 2:1.2873791456222534 3:5.3782172203063965 4:13.55158817768097
2 qid:100033 1:7.714392304420471 2:1.6447776556015015 3:6.511349201202393 4:16.0485942363739
1 qid:100033 1:5.337733626365662 2:1.397169589996338 3:3.2646291255950928 4:9.179407596588135
1 qid:100033 1:5.885069727897644 2:1.330580472946167 3:3.528120279312134 4:9.552427887916565
2 qid:100034 1:4.852065682411194 2:1.1452189683914185 3:2.113065004348755 4:8.866430878639221
1 qid:100034 1:3.3395379781723022 2:0.7564228773117065 3:1.511794924736023 4:6.382392406463623
1 qid:100034 1:2.3826881051063538 2:0.5237635970115662 3:1.2882871627807617 4:5.438802659511566
1 qid:100034 1:3.7206440567970276 2:0.8399738073348999 3:1.5271360874176025 4:6.4471588134765625
2 qid:100035 1:2.514033228158951 2:0.5932425260543823 3:1.3387764692306519 4:6.132720589637756
1 qid:100035 1:2.577116996049881 2:0.6543848514556885 3:1.331985592842102 4:5.743389964103699
1 qid:100035 1:4.474398851394653 2:0.9747865200042725 3:1.605643630027771 4:7.6039780378341675
1 qid:100035 1:2.2080980837345123 2:0.4824981987476349 3:1.331621766090393 4:5.741820931434631
1 qid:100036 1:8.750649571418762 2:2.0597565174102783 3:2.2386159896850586 4:10.314333081245422
1 qid:100036 1:10.354713320732117 2:2.484011173248291 3:3.4913787841796875 4:14.136080980300903
1 qid:100036 1:9.186617612838745 2:1.9956531524658203 3:2.6022801399230957 4:11.9899001121521
2 qid:100036 1:7.455557584762573 2:1.5846490859985352 3:2.199946641921997 4:8.907261371612549
1 qid:100037 1:0.8771980553865433 2:0.21219462156295776 3:0.33553001284599304 4:1.6126219034194946
1 qid:100037 1:0.9222698658704758 2:0.27050966024398804 3:0.3369627594947815 4:1.619507908821106
2 qid:100037 1:1.1175323724746704 2:0.3336496949195862 3:0.774985671043396 4:2.290025919675827
1 qid:100037 1:1.2250063866376877 2:0.2869794964790344 3:0.3181230425834656 4:1.557518720626831
1 qid:100038 1:1.8029383718967438 2:0.4101204574108124 3:1.003772497177124 4:4.177404224872589
2 qid:100038 1:1.809350699186325 2:0.41157910227775574 3:1.00857675075531 4:4.197398006916046
1 qid:100038 1:2.0178951919078827 2:0.45786699652671814 3:1.273903727531433 4:4.9970003962516785
1 qid:100038 1:1.7029178142547607 2:0.38736844062805176 3:0.978913426399231 4:4.07394814491272
1 qid:100039 1:1.6952794194221497 2:0.39282792806625366 3:0.42270612716674805 4:1.9350786805152893
2 qid:100039 1:1.4949289858341217 2:0.3147542178630829 3:0.4240449070930481 4:1.9065452218055725
1 qid:100039 1:1.5472126007080078 2:0.4495907425880432 3:0.4159969091415405 4:1.9254847764968872
1 qid:100039 1:1.416550487279892 2:0.38363224267959595 3:0.3781927824020386 4:1.644578993320465
1 qid:100040 1:1.9086718261241913 2:0.3995094895362854 3:1.0343660116195679 4:3.822232723236084
1 qid:100040 1:1.971550464630127 2:0.640967607498169 3:0.6848101019859314 4:2.95214706659317
1 qid:100040 1:1.4919432401657104 2:0.3108222186565399 3:0.672261118888855 4:2.699787676334381
2 qid:100040 1:1.7051830887794495 2:0.42552345991134644 3:0.9633610248565674 4:3.2683894634246826
1 qid:100041 1:3.791092038154602 2:1.0478394031524658 3:2.655736207962036 4:10.409096002578735
1 qid:100041 1:3.501054584980011 2:1.0537524223327637 3:2.67874813079834 4:10.191812992095947
1 qid:100041 1:4.445135295391083 2:1.1193147897720337 3:2.771230936050415 4:10.95677375793457
2 qid:100041 1:5.581538617610931 2:1.4604920148849487 3:4.030450344085693 4:16.314867973327637
2 qid:100042 1:3.2858726382255554 2:0.7021564841270447 3:2.152540922164917 4:8.820392608642578
1 qid:100042 1:3.0568504631519318 2:0.7008487582206726 3:1.6302706003189087 4:7.361475467681885
1 qid:100042 1:3.641982913017273 2:0.8936980962753296 3:1.866981863975525 4:7.903508543968201
1 qid:100042 1:3.4463042616844177 2:0.9165400862693787 3:1.5931806564331055 4:7.122689247131348
2 qid:100043 1:6.2104939222335815 2:1.4453052282333374 3:2.6107981204986572 4:11.860231399536133
1 qid:100043 1:3.8261507749557495 2:0.85274338722229 3:1.3880715370178223 4:6.926576852798462
1 qid:100043 1:4.039216220378876 2:0.901326596736908 3:1.492204189300537 4:7.268932819366455
1 qid:100043 1:4.229390740394592 2:1.010627269744873 3:1.5346451997756958 4:7.4179447889328
2 qid:100044 1:3.5421850085258484 2:0.8032381534576416 3:7.441883563995361 4:11.106890976428986
1 qid:100044 1:4.205143094062805 2:0.9238139986991882 3:5.232697486877441 4:11.875906348228455
1 qid:100044 1:4.203523755073547 2:0.958728015422821 3:6.038665771484375 4:11.987159252166748
1 qid:100044 1:4.788029432296753 2:1.0137193202972412 3:5.893918037414551 4:13.420441508293152
1 qid:100045 1:3.1379563212394714 2:0.6473385691642761 3:1.7069942951202393 4:8.047258615493774
1 qid:100045 1:3.738181233406067 2:0.8053805828094482 3:2.000265598297119 4:9.217839360237122
2 qid:100045 1:3.987304389476776 2:0.8935616612434387 3:1.8171427249908447 4:8.369699239730835
1 qid:100045 1:4.163213908672333 2:0.9171808958053589 3:1.5845733880996704 4:7.135985970497131
1 qid:100046 1:1.8699539601802826 2:0.4460448622703552 3:0.8351045250892639 4:3.9456976652145386
1 qid:100046 1:1.7416840195655823 2:0.4459686875343323 3:0.8360350131988525 4:3.950093924999237
2 qid:100046 1:2.3438191413879395 2:0.62266606092453 3:1.1862331628799438 4:4.960280478000641
1 qid:100046 1:2.0069898068904877 2:0.4728471636772156 3:0.8402910232543945 4:3.9702025651931763
2 qid:100047 1:1.947117567062378 2:0.49264565110206604 3:0.39635753631591797 4:1.7599623799324036
1 qid:100047 1:2.531482994556427 2:0.646467387676239 3:0.5914349555969238 4:2.7588312327861786
1 qid:100047 1:1.7675352096557617 2:0.48247385025024414 3:0.5514117479324341 4:1.975201576948166
1 qid:100047 1:2.3504683673381805 2:0.6192510724067688 3:0.602308988571167 4:2.4734469950199127
2 qid:100048 1:2.509924292564392 2:0.5314137935638428 3:1.0491102933883667 4:4.69502979516983
1 qid:100048 1:3.7106229662895203 2:0.7930925488471985 3:1.090020775794983 4:5.085000276565552
1 qid:100048 1:1.5234329998493195 2:0.3945520222187042 3:0.669776201248169 4:3.1284733414649963
1 qid:100048 1:2.769959807395935 2:0.5904256701469421 3:1.068241000175476 4:5.263807654380798
2 qid:100049 1:4.243944764137268 2:0.94682776927948 3:1.8428127765655518 4:8.973245859146118
1 qid:100049 1:4.243944764137268 2:0.94682776927948 3:1.8428126573562622 4:8.973244905471802
1 qid:100049 1:4.243944764137268 2:0.94682776927948 3:1.8428126573562622 4:8.973244905471802
1 qid:100049 1:4.243944764137268 2:0.94682776927948 3:1.8428126573562622 4:8.973244905471802
1 qid:100050 1:2.8826382756233215 2:0.8396344184875488 3:0.7425471544265747 4:3.125325381755829
2 qid:100050 1:3.110979378223419 2:0.8738977313041687 3:0.9489575028419495 4:3.835749566555023
1 qid:100050 1:2.6227076053619385 2:0.7639236450195312 3:0.6824191212654114 4:2.963397741317749
1 qid:100050 1:2.5526778995990753 2:0.8087369799613953 3:0.5715113282203674 4:2.485403746366501
1 qid:100051 1:0.8902201056480408 2:0.22131496667861938 3:0.641976535320282 4:1.945360541343689
1 qid:100051 1:0.6869547516107559 2:0.16912847757339478 3:0.5162636041641235 4:1.5367800742387772
2 qid:100051 1:0.8293163180351257 2:0.2623613774776459 3:0.581275999546051 4:1.8868984133005142
1 qid:100051 1:0.7175348550081253 2:0.1799839586019516 3:0.5073773860931396 4:1.56207837164402
1 qid:100052 1:1.5378092527389526 2:0.36488479375839233 3:0.5929316282272339 4:2.4664995074272156
2 qid:100052 1:1.4791440814733505 2:0.35661306977272034 3:0.5073825716972351 4:2.242056667804718
1 qid:100052 1:1.5552858412265778 2:0.36422500014305115 3:0.6446139812469482 4:2.8541655242443085
1 qid:100052 1:1.552144706249237 2:0.36623191833496094 3:0.5677855014801025 4:2.4519257247447968
2 qid:100053 1:5.199829399585724 2:1.2899270057678223 3:1.3649991750717163 4:6.294354319572449
1 qid:100053 1:5.593402147293091 2:1.3292219638824463 3:3.614511489868164 4:16.686031341552734
1 qid:100053 1:5.171758830547333 2:1.0795841217041016 3:2.3235018253326416 4:10.318674802780151
1 qid:100053 1:4.357057452201843 2:0.9810625910758972 3:1.6203227043151855 4:5.359377026557922
1 qid:100054 1:3.8840418457984924 2:0.8823193311691284 3:2.122302293777466 4:9.482404947280884
1 qid:100054 1:5.775011658668518 2:1.352623462677002 3:2.659259080886841 4:12.140106201171875
1 qid:100054 1:4.629768013954163 2:1.1202131509780884 3:2.566222906112671 4:11.733177423477173
2 qid:100054 1:6.804022312164307 2:1.6488360166549683 3:3.85726261138916 4:18.177626132965088
1 qid:100055 1:4.694796919822693 2:1.1300926208496094 3:1.7565803527832031 4:7.871095895767212
2 qid:100055 1:5.011598646640778 2:1.103001594543457 3:2.058192014694214 4:9.196786284446716
1 qid:100055 1:3.9961907267570496 2:0.9409617781639099 3:1.7878472805023193 4:7.855246067047119
1 qid:100055 1:4.286481976509094 2:0.925521731376648 3:1.6779197454452515 4:8.051977753639221
1 qid:100056 1:1.6245292723178864 2:0.4006974697113037 3:0.6037346124649048 4:2.790574312210083
1 qid:100056 1:1.4579081237316132 2:0.35427185893058777 3:0.6414108276367188 4:2.790825515985489
1 qid:100056 1:2.2332907617092133 2:0.5767503380775452 3:0.6028088927268982 4:2.6474945545196533
2 qid:100056 1:1.7128148674964905 2:0.4215278625488281 3:0.5341864228248596 4:2.308458298444748
2 qid:100057 1:3.043380856513977 2:0.6711502075195312 3:6.027801513671875 4:12.223400592803955
1 qid:100057 1:3.6345231533050537 2:0.8327383995056152 3:2.2236480712890625 4:7.691599369049072
1 qid:100057 1:3.203986644744873 2:0.7276737689971924 3:4.879062652587891 4:10.918662548065186
1 qid:100057 1:3.6734381914138794 2:0.822925329208374 3:1.9167603254318237 4:8.671988844871521
2 qid:100058 1:2.528382569551468 2:0.5456804633140564 3:0.6069376468658447 4:2.876318573951721
1 qid:100058 1:2.066574215888977 2:0.4734240770339966 3:0.5649535059928894 4:2.6969820857048035
1 qid:100058 1:1.3636009246110916 2:0.31352347135543823 3:0.5436187982559204 4:2.17510262131691
1 qid:100058 1:2.3692199885845184 2:0.5849171876907349 3:0.7291939854621887 4:3.0140840113162994
1 qid:100059 1:1.6611370742321014 2:0.4234943389892578 3:0.5258601903915405 4:2.344505786895752
2 qid:100059 1:1.8680912852287292 2:0.5046678781509399 3:0.5655915141105652 4:2.543143004179001
1 qid:100059 1:1.3862626254558563 2:0.342772513628006 3:0.7248959541320801 4:3.173442006111145
1 qid:100059 1:2.063720166683197 2:0.48539960384368896 3:0.5328801870346069 4:2.5147404968738556
1 qid:100060 1:1.5900355279445648 2:0.3585914969444275 3:0.5783725380897522 4:2.7507628798484802
1 qid:100060 1:1.569474220275879 2:0.3547288477420807 3:0.5548399090766907 4:2.6285969614982605
2 qid:100060 1:1.529852956533432 2:0.34307220578193665 3:0.5354145765304565 4:2.53656804561615
1 qid:100060 1:1.5796055495738983 2:0.34322309494018555 3:0.5346994996070862 4:2.533180356025696
2 qid:100061 1:1.6765179932117462 2:0.4371524751186371 3:0.8423606157302856 4:4.211803078651428
1 qid:100061 1:2.034795254468918 2:0.4371652901172638 3:0.8598845601081848 4:4.299422800540924
1 qid:100061 1:1.7212828397750854 2:0.381052702665329 3:0.8918350338935852 4:4.459175169467926
1 qid:100061 1:1.616164743900299 2:0.34374314546585083 3:0.84810870885849 4:4.24054354429245
1 qid:100062 1:1.6243051588535309 2:0.422380656003952 3:0.5917424559593201 4:2.259706348180771
1 qid:100062 1:1.1314636021852493 2:0.28305870294570923 3:0.5239932537078857 4:1.922898769378662
1 qid:100062 1:1.617857664823532 2:0.3489663004875183 3:0.6867461800575256 4:2.551530122756958
2 qid:100062 1:1.4323646873235703 2:0.3467696011066437 3:0.6376890540122986 4:2.6686947345733643
1 qid:100063 1:1.6161826848983765 2:0.36349809169769287 3:0.3651089668273926 4:1.7417279183864594
1 qid:100063 1:1.7058631479740143 2:0.3734166920185089 3:0.5500192046165466 4:2.2013164460659027
1 qid:100063 1:1.8306562304496765 2:0.41275322437286377 3:0.4277971684932709 4:1.8648724555969238
2 qid:100063 1:1.6277911961078644 2:0.3753553628921509 3:0.3860885202884674 4:1.7713027000427246
1 qid:100064 1:2.045358806848526 2:0.4319388270378113 3:0.9344098567962646 4:3.7342920303344727
1 qid:100064 1:1.9773344695568085 2:0.5201244354248047 3:1.1591640710830688 4:3.82148540019989
1 qid:100064 1:2.51728355884552 2:0.5349584221839905 3:1.284824252128601 4:4.964150011539459
2 qid:100064 1:2.013239800930023 2:0.41320061683654785 3:1.1209590435028076 4:3.8318161368370056
1 qid:100065 1:1.9408170282840729 2:0.4556846618652344 3:0.9587059020996094 4:3.5474547743797302
1 qid:100065 1:1.9150307178497314 2:0.4552866518497467 3:0.7971280813217163 4:3.3399851322174072
1 qid:100065 1:2.270894169807434 2:0.5089211463928223 3:0.7270765900611877 4:3.2504345774650574
2 qid:100065 1:3.071778953075409 2:0.8580182194709778 3:0.9221259355545044 4:3.957877516746521
1 qid:100066 1:3.5235421657562256 2:0.7905080914497375 3:0.9801015853881836 4:4.261179327964783
2 qid:100066 1:4.128333032131195 2:0.8685700297355652 3:1.3822420835494995 4:5.224169611930847
1 qid:100066 1:3.5235421657562256 2:0.7905080914497375 3:0.9801015853881836 4:4.261179327964783
1 qid:100066 1:3.5235421657562256 2:0.7905080914497375 3:0.9801015853881836 4:4.261179327964783
2 qid:100067 1:3.328071355819702 2:0.7931076288223267 3:1.2293286323547363 4:5.256901443004608
1 qid:100067 1:2.2694833874702454 2:0.48963412642478943 3:1.0771872997283936 4:4.433348715305328
1 qid:100067 1:2.1843515634536743 2:0.5532788038253784 3:1.0189028978347778 4:4.193468987941742
1 qid:100067 1:2.487197518348694 2:0.6157874464988708 3:1.0843682289123535 4:4.525621116161346
2 qid:100068 1:5.785019040107727 2:1.339050531387329 3:2.511164665222168 4:10.987065076828003
1 qid:100068 1:4.818466007709503 2:1.1400434970855713 3:2.2141971588134766 4:10.370858907699585
1 qid:100068 1:4.7987306118011475 2:1.1353741884231567 3:2.2319610118865967 4:10.454061508178711
1 qid:100068 1:4.70271235704422 2:1.1126563549041748 3:2.187337636947632 4:10.245055437088013
1 qid:100069 1:1.7175849080085754 2:0.3782568871974945 3:0.6015430092811584 4:2.2447197437286377
1 qid:100069 1:1.4552151262760162 2:0.32156169414520264 3:0.6129391193389893 4:2.167835235595703
2 qid:100069 1:1.8859772384166718 2:0.4097963571548462 3:0.616682231426239 4:2.217427909374237
